coefficient,estimate,standard_error,t_stat,strategy,model
alpha,0.0034387253493755213,0.0016654102901027374,2.0647917031684666,HAA Market-Cap Net,market_only
MKT_SPY,0.6441430192315251,0.03812977501062752,16.893438764115178,HAA Market-Cap Net,market_only
alpha,0.005145886026425163,0.001774526009183937,2.8998650906174293,HAA Market-Cap Net,market_and_defensive
MKT_SPY,0.6333329549667532,0.03793610771902914,16.694726819564227,HAA Market-Cap Net,market_and_defensive
SHY,-0.977358072689688,0.378404727074763,-2.582837905448753,HAA Market-Cap Net,market_and_defensive
alpha,0.004124603385477394,0.0014799265929426122,2.787032414409311,HAA Market-Cap Net,style_proxy
MKT_SPY,0.6781703446144873,0.03773403887594868,17.97237626335162,HAA Market-Cap Net,style_proxy
SIZE_IJR_MINUS_SPY,0.21869633377947098,0.10039758949731388,2.178302635297057,HAA Market-Cap Net,style_proxy
MID_MDY_MINUS_SPY,0.1332875998895953,0.1419480391949847,0.9389886654686852,HAA Market-Cap Net,style_proxy
TIP_MINUS_SHY,-0.6261950974619561,0.11100180073322505,-5.641305756533763,HAA Market-Cap Net,style_proxy
alpha,0.0037266482765802708,0.0015436397618011554,2.4141955712723604,HAA Market-Cap Net,sector_proxy
MKT_SPY,0.6969040759247129,0.05240796862683059,13.297673887858506,HAA Market-Cap Net,sector_proxy
OFFENSIVE_SECTORS_MINUS_SPY,0.46748359307768794,0.12750688673473584,3.666339952682215,HAA Market-Cap Net,sector_proxy
DEFENSIVE_SECTORS_MINUS_SPY,0.09445192603989384,0.0821293347238955,1.150038854660454,HAA Market-Cap Net,sector_proxy
TIP_MINUS_SHY,-0.6409679664914921,0.1151907687926419,-5.564403929322812,HAA Market-Cap Net,sector_proxy
alpha,0.002658728408251448,0.0025152892682330616,1.05702689620234,Sector Top-1 Net,market_only
MKT_SPY,0.8115115490822876,0.057587859552889,14.091712305038723,Sector Top-1 Net,market_only
alpha,0.004578394319192251,0.0026960408184972277,1.698191766155917,Sector Top-1 Net,market_and_defensive
MKT_SPY,0.7993558614875934,0.05763640227084936,13.868940981624766,Sector Top-1 Net,market_and_defensive
SHY,-1.0990183877522819,0.5749110381171746,-1.9116320872035286,Sector Top-1 Net,market_and_defensive
alpha,0.0028890546648948144,0.002496786165202642,1.157109369300088,Sector Top-1 Net,style_proxy
MKT_SPY,0.8616019847189875,0.06366114824341203,13.534188567014269,Sector Top-1 Net,style_proxy
