strategy,model,n_obs,annualized_alpha,alpha_t_stat,r_squared,market_beta,residual_volatility
HAA Market-Cap Net,market_only,252,0.04126470419250625,2.0647917031684666,0.5330491673457014,0.6441430192315251,0.08927587919703343
HAA Market-Cap Net,market_and_defensive,252,0.061750632317101956,2.8998650906174293,0.5452329992681829,0.6333329549667532,0.08810347341592324
HAA Market-Cap Net,style_proxy,252,0.04949524062572873,2.787032414409311,0.6382719145350281,0.6781703446144873,0.07857595601187906
HAA Market-Cap Net,sector_proxy,252,0.044719779318963246,2.4141955712723604,0.6111345140425115,0.6969040759247129,0.08147010164323085
Sector Top-1 Net,market_only,252,0.031904740899017375,1.05702689620234,0.4426812808343945,0.8115115490822876,0.13483443821072877
Sector Top-1 Net,market_and_defensive,252,0.05494073183030701,1.698191766155917,0.45074221725250974,0.7993558614875934,0.13385577858616407
Sector Top-1 Net,style_proxy,252,0.03466865597873777,1.157109369300088,0.4612792944180403,0.8616019847189875,0.1325656021208064
Sector Top-1 Net,sector_proxy,252,0.033420692416409756,1.1035203222398393,0.45610596367379086,0.8502246960539768,0.13320059452926308
Sector Top-2 Net,market_only,252,0.025715194962350228,1.2807857843635366,0.6846261021991876,0.8923987096090118,0.08969019511109433
Sector Top-2 Net,market_and_defensive,252,0.05111465977667175,2.4062210601357945,0.6971590914518866,0.8789958583804175,0.08788998009919763
Sector Top-2 Net,style_proxy,252,0.028537073166978167,1.4538113408640756,0.704283833319044,0.9340782662020418,0.08684996141859327
Sector Top-2 Net,sector_proxy,252,0.02742603999405989,1.422698416783878,0.7181757030434108,0.9422188855680664,0.08478544658802269
Sector Top-2 SHY Net,market_only,252,0.04759887598236773,1.998981131992698,0.48263735930210805,0.6937974436520521,0.1063701198155615
Sector Top-2 SHY Net,market_and_defensive,252,0.08479628977973425,3.4029910004109154,0.5139883296480657,0.6741690220747025,0.10309686635742701
Sector Top-2 SHY Net,style_proxy,252,0.05204792387827462,2.2982280309552854,0.5408941130296858,0.762685215312018,0.1002024976539256
Sector Top-2 SHY Net,sector_proxy,252,0.055840921549335315,2.5184175533176516,0.5651419072825337,0.6854234844726127,0.09752049442333338
VTI Buy and Hold,market_only,252,-0.0026952819870606683,-0.9054131231708199,0.9924580893262794,1.0301597492850016,0.013298083941891168
VTI Buy and Hold,market_and_defensive,252,1.4059366818048466e-05,0.004419969230253772,0.9926132209804788,1.0287300774647894,0.013160607330010066
VTI Buy and Hold,style_proxy,252,0.0005628723935415207,0.3387013787542346,0.9976941783106833,1.0107167007811388,0.0073529436523402155
VTI Buy and Hold,sector_proxy,252,-0.00046852084764537007,-0.17068452146782293,0.993783944008689,1.0018090534237172,0.012072739694887733
SPY Buy and Hold,market_only,252,-1.0525106121765406e-16,-3.3238193198674586,1.0,0.9999999999999991,1.4145278343807728e-16
SPY Buy and Hold,market_and_defensive,252,-2.0895460063129453e-16,-5.922330259051049,1.0,0.9999999999999996,1.452660635269382e-16
SPY Buy and Hold,style_proxy,252,-2.1523329174773568e-16,-5.2017656355151605,1.0,1.0,1.8305927714014248e-16
SPY Buy and Hold,sector_proxy,252,-1.9235003189913523e-16,-6.055393451720591,1.0,0.9999999999999993,1.3913103269172622e-16
