Date,canary_momentum,risk_on,selected_offensive_asset,selected_defensive_asset,target_asset,target_asset_momentum
2005-01-31,0.03456701410075874,1,XLE,XLU,XLE,0.15664069470872427
2005-02-28,0.017440376571052574,1,XLE,XLU,XLE,0.30662016538167813
2005-03-31,0.012122746183546279,1,XLE,XLU,XLE,0.2210346410842648
2005-04-30,0.03995584361518428,1,XLE,XLU,XLE,0.14267381116304795
2005-05-31,0.040106937750095994,1,XLE,XLU,XLE,0.13062829879682153
2005-06-30,0.0388811270714548,1,XLE,XLU,XLE,0.1934079797251374
2005-07-31,0.005393265002202496,1,XLE,XLU,XLE,0.25296575960043866
2005-08-31,0.02953316981983345,1,XLE,XLU,XLE,0.26308729440255496
2005-09-30,0.019552133259002735,1,XLE,XLU,XLE,0.27241425280279374
2005-10-31,0.005554482233083774,1,XLE,XLU,XLE,0.13918327861245988
2005-11-30,0.0033229526790918007,1,XLE,XLU,XLE,0.13258479940387666
2005-12-31,0.007836972675546894,1,XLE,XLV,XLE,0.12441880217121737
2006-01-31,0.015162712197877792,1,XLE,XLU,XLE,0.2755501521502561
2006-02-28,0.009692177516428119,1,XLF,XLU,XLF,0.07496040153375078
2006-03-31,-0.01460821282928007,0,XLE,XLV,XLV,0.027531895525402778
2006-04-30,-0.012798764670585522,0,XLE,XLP,XLP,0.035733738784957114
2006-05-31,-0.011582121505479936,0,XLE,XLU,XLU,0.03142951375212227
2006-06-30,-0.006536937537358234,0,XLE,XLP,XLP,0.04600010357398687
2006-07-31,0.014223870028161528,1,XLE,XLU,XLE,0.08370713458819479
2006-08-31,0.02007343168279313,1,XLF,XLP,XLF,0.06077738171595609
2006-09-30,0.021881254840400377,1,XLF,XLP,XLF,0.09830686371208197
2006-10-31,0.020994459253880743,1,XLY,XLU,XLY,0.1238940252400626
2006-11-30,0.0266903118113333,1,XLE,XLU,XLE,0.12756978065411667
2006-12-31,-0.00353802115758442,0,XLY,XLU,XLU,0.11609718472553121
2007-01-31,0.0008614660025336451,1,XLY,XLP,XLY,0.12972637311387109
2007-02-28,0.013202286773603245,1,XLY,XLU,XLY,0.0778928857751009
2007-03-31,0.0227819375209527,1,XLE,XLU,XLE,0.08806578715528801
2007-04-30,0.028968779257582733,1,XLE,XLU,XLE,0.10348037226829249
2007-05-31,0.005460970294026479,1,XLE,XLU,XLE,0.16599716914715978
2007-06-30,0.010514090177350166,1,XLE,XLU,XLE,0.14397789091491725
2007-07-31,0.02808970824468604,1,XLE,SHY,XLE,0.11967106932290045
2007-08-31,0.024735555603142778,1,XLE,SHY,XLE,0.13561868258851373
2007-09-30,0.0352035625797692,1,XLE,XLP,XLE,0.2062110504874331
2007-10-31,0.03656087453426782,1,XLE,XLU,XLE,0.18739395090454597
2007-11-30,0.074688036911843,1,XLE,XLU,XLE,0.08075454314370525
2007-12-31,0.06872119436562346,1,XLE,XLU,XLE,0.1678541464947919
2008-01-31,0.09651144999628153,1,XLE,SHY,XLE,0.003173108623199916
2008-02-29,0.08423546764905415,1,XLE,SHY,XLE,0.14426162284096983
2008-03-31,0.07453097325367611,1,XLE,SHY,XLE,0.03758224259055734
2008-04-30,0.04591319155095652,1,XLE,SHY,XLE,0.1644311987879507
2008-05-31,0.040090278726451795,1,XLE,XLU,XLE,0.15901554982104416
2008-06-30,0.059240492824152724,1,XLE,XLU,XLE,0.16173942148370607
2008-07-31,0.03636283257520298,1,XLE,XLP,XLE,-0.02047235302456013
2008-08-31,0.039828286844197425,1,XLE,XLP,XLE,-0.014692072320534794
2008-09-30,-0.011248813212165032,0,XLY,SHY,SHY,0.024005709249871998
2008-10-31,-0.08031658374311332,0,XLY,SHY,SHY,0.033109760635463004
2008-11-30,-0.06350691084424348,0,XLE,SHY,SHY,0.03667121408400231
2008-12-31,0.000589043546413065,1,XLY,SHY,XLY,-0.18104793425819574
2009-01-31,-0.001517146299499006,0,XLE,SHY,SHY,0.02211880049454773
2009-02-28,-0.03076355743452111,0,XLK,SHY,SHY,0.015097695514835252
2009-03-31,0.026089222010112212,1,XLK,SHY,XLK,-0.0913329718932912
2009-04-30,0.018806335016970238,1,XLY,SHY,XLY,0.045499175552232374
2009-05-31,0.04686465853955918,1,XLF,XLV,XLF,0.06779201840722873
2009-06-30,0.00781033131563541,1,XLK,SHY,XLK,0.05251311498220074
2009-07-31,0.014409949488371043,1,XLK,XLP,XLK,0.1203916284190352
2009-08-31,0.02162855559277574,1,XLF,XLV,XLF,0.2539149178081254
2009-09-30,0.03500537846383922,1,XLF,XLP,XLF,0.18993783127463046
2009-10-31,0.06980037023288216,1,XLK,XLP,XLK,0.12582681370844676
2009-11-30,0.08662174636271092,1,XLK,XLV,XLK,0.21029910043059946
2009-12-31,0.03368861875538717,1,XLK,XLV,XLK,0.2355863154028816
2010-01-31,0.05176444531033064,1,XLY,XLV,XLY,0.1840464176345648
2010-02-28,0.031360355170162335,1,XLY,XLV,XLY,0.26949565496156236
2010-03-31,0.019067737712279403,1,XLI,XLP,XLI,0.28631142886006
2010-04-30,0.042822133208140156,1,XLY,XLP,XLY,0.2730842580718249
2010-05-31,0.029419951232037334,1,XLY,XLP,XLY,0.13817654648253433
2010-06-30,0.047027506954777476,1,XLI,SHY,XLI,0.02083655537582374
2010-07-31,0.030769884315123786,1,XLI,XLU,XLI,0.11213421739833343
2010-08-31,0.05204338585847962,1,XLY,XLU,XLY,0.015069864257188065
2010-09-30,0.04665037888521684,1,XLY,XLU,XLY,0.12946573136905953
2010-10-31,0.0613183658960747,1,XLY,XLP,XLY,0.13314562401776042
2010-11-30,0.024468217334123382,1,XLY,XLP,XLY,0.1577791029517464
2010-12-31,0.01476018938128082,1,XLE,XLP,XLE,0.23001536934548195
2011-01-31,0.009040777739369954,1,XLE,XLP,XLE,0.2620941779115021
