Date,canary_momentum,risk_on,offensive_rank_1,offensive_rank_2,defensive_asset
2005-01-31,0.03456701410075874,1,XLE,XLI,SHY
2005-02-28,0.017440376571052574,1,XLE,XLI,SHY
2005-03-31,0.012122746183546279,1,XLE,XLI,SHY
2005-04-30,0.03995584361518428,1,XLE,XLI,SHY
2005-05-31,0.040106937750095994,1,XLE,XLI,SHY
2005-06-30,0.0388811270714548,1,XLE,XLF,SHY
2005-07-31,0.005393265002202496,1,XLE,XLY,SHY
2005-08-31,0.02953316981983345,1,XLE,XLK,SHY
2005-09-30,0.019552133259002735,1,XLE,XLK,SHY
2005-10-31,0.005554482233083774,1,XLE,XLF,SHY
2005-11-30,0.0033229526790918007,1,XLE,XLF,SHY
2005-12-31,0.007836972675546894,1,XLE,XLF,SHY
2006-01-31,0.015162712197877792,1,XLE,XLF,SHY
2006-02-28,0.009692177516428119,1,XLF,XLI,SHY
2006-03-31,-0.01460821282928007,0,XLE,XLI,SHY
2006-04-30,-0.012798764670585522,0,XLE,XLI,SHY
2006-05-31,-0.011582121505479936,0,XLE,XLI,SHY
2006-06-30,-0.006536937537358234,0,XLE,XLI,SHY
2006-07-31,0.014223870028161528,1,XLE,XLF,SHY
2006-08-31,0.02007343168279313,1,XLF,XLE,SHY
2006-09-30,0.021881254840400377,1,XLF,XLY,SHY
2006-10-31,0.020994459253880743,1,XLY,XLK,SHY
2006-11-30,0.0266903118113333,1,XLE,XLY,SHY
2006-12-31,-0.00353802115758442,0,XLY,XLF,SHY
2007-01-31,0.0008614660025336451,1,XLY,XLF,SHY
2007-02-28,0.013202286773603245,1,XLY,XLI,SHY
2007-03-31,0.0227819375209527,1,XLE,XLY,SHY
2007-04-30,0.028968779257582733,1,XLE,XLI,SHY
2007-05-31,0.005460970294026479,1,XLE,XLK,SHY
2007-06-30,0.010514090177350166,1,XLE,XLK,SHY
2007-07-31,0.02808970824468604,1,XLE,XLI,SHY
2007-08-31,0.024735555603142778,1,XLE,XLK,SHY
2007-09-30,0.0352035625797692,1,XLE,XLI,SHY
2007-10-31,0.03656087453426782,1,XLE,XLK,SHY
2007-11-30,0.074688036911843,1,XLE,XLI,SHY
2007-12-31,0.06872119436562346,1,XLE,XLK,SHY
2008-01-31,0.09651144999628153,1,XLE,XLI,SHY
2008-02-29,0.08423546764905415,1,XLE,XLI,SHY
2008-03-31,0.07453097325367611,1,XLE,XLI,SHY
2008-04-30,0.04591319155095652,1,XLE,XLI,SHY
2008-05-31,0.040090278726451795,1,XLE,XLK,SHY
2008-06-30,0.059240492824152724,1,XLE,XLK,SHY
2008-07-31,0.03636283257520298,1,XLE,XLK,SHY
2008-08-31,0.039828286844197425,1,XLE,XLK,SHY
2008-09-30,-0.011248813212165032,0,XLY,XLI,SHY
2008-10-31,-0.08031658374311332,0,XLY,XLK,SHY
2008-11-30,-0.06350691084424348,0,XLE,XLY,SHY
2008-12-31,0.000589043546413065,1,XLY,XLI,SHY
