Date,canary_momentum,risk_on,offensive_rank_1,offensive_rank_2,defensive_rank_1,defensive_rank_2
2005-01-31,0.03456705385649911,1,XLE,XLI,XLU,XLP
2005-02-28,0.017440936846600558,1,XLE,XLI,XLU,XLP
2005-03-31,0.012122992202147909,1,XLE,XLI,XLU,XLP
2005-04-30,0.03995596155455339,1,XLE,XLI,XLU,XLV
2005-05-31,0.04010662210792104,1,XLE,XLI,XLU,XLV
2005-06-30,0.038880697575890355,1,XLE,XLF,XLU,XLV
2005-07-31,0.005393927965801099,1,XLE,XLY,XLU,XLV
2005-08-31,0.02953301983082468,1,XLE,XLK,XLU,XLV
2005-09-30,0.01955192916952908,1,XLE,XLK,XLU,XLV
2005-10-31,0.005554355950474821,1,XLE,XLF,XLU,XLP
2005-11-30,0.0033229986235855657,1,XLE,XLF,XLU,XLP
2005-12-31,0.007837890110865497,1,XLE,XLF,XLV,XLU
2006-01-31,0.015162278994305611,1,XLE,XLF,XLU,XLV
2006-02-28,0.009692019293825488,1,XLF,XLI,XLU,XLV
2006-03-31,-0.01460809370950808,0,XLE,XLI,XLV,XLP
2006-04-30,-0.012798300371439891,0,XLE,XLI,XLP,XLU
2006-05-31,-0.011581887176764533,0,XLE,XLI,XLU,XLP
2006-06-30,-0.006537077794687179,0,XLE,XLI,XLP,XLU
2006-07-31,0.014223323584157982,1,XLE,XLF,XLU,XLP
2006-08-31,0.020072778773453925,1,XLF,XLE,XLP,XLU
2006-09-30,0.0218822999446035,1,XLF,XLY,XLP,XLV
2006-10-31,0.020993512403927245,1,XLY,XLK,XLU,XLP
2006-11-30,0.026691049668415845,1,XLE,XLY,XLU,XLV
2006-12-31,-0.003537792819975988,0,XLY,XLF,XLU,XLP
2007-01-31,0.0008615315201211116,1,XLY,XLF,XLP,XLU
2007-02-28,0.013202055394847062,1,XLY,XLI,XLU,XLP
2007-03-31,0.02278129664545231,1,XLE,XLY,XLU,XLP
2007-04-30,0.028969112013331466,1,XLE,XLI,XLU,XLV
2007-05-31,0.005460969546276451,1,XLE,XLK,XLU,XLV
2007-06-30,0.01051362695224034,1,XLE,XLK,XLU,XLV
2007-07-31,0.02809025866885062,1,XLE,XLI,SHY,XLU
2007-08-31,0.02473600287729022,1,XLE,XLK,SHY,XLP
2007-09-30,0.03520355931728364,1,XLE,XLI,XLP,XLU
2007-10-31,0.03656100174042948,1,XLE,XLK,XLU,XLP
2007-11-30,0.07468750135474517,1,XLE,XLI,XLU,XLP
2007-12-31,0.06872101228966015,1,XLE,XLK,XLU,XLP
2008-01-31,0.09651091106707654,1,XLE,XLI,SHY,XLU
2008-02-29,0.08423576328930132,1,XLE,XLI,SHY,XLP
2008-03-31,0.07453109886089784,1,XLE,XLI,SHY,XLP
2008-04-30,0.04591202032507169,1,XLE,XLI,SHY,XLP
2008-05-31,0.04009091440860499,1,XLE,XLK,XLU,XLP
2008-06-30,0.0592409662062664,1,XLE,XLK,XLU,SHY
2008-07-31,0.036363554948707494,1,XLE,XLK,XLP,SHY
2008-08-31,0.0398276933783866,1,XLE,XLK,XLP,SHY
2008-09-30,-0.011248830668777715,0,XLY,XLI,SHY,XLP
2008-10-31,-0.08031643707200295,0,XLY,XLK,SHY,XLP
2008-11-30,-0.06350661843588296,0,XLE,XLY,SHY,XLP
2008-12-31,0.0005889549640503422,1,XLY,XLI,SHY,XLP
2009-01-31,-0.001516595203319565,0,XLE,XLK,SHY,XLV
2009-02-28,-0.03076390411258706,0,XLK,XLY,SHY,XLP
2009-03-31,0.026089529993551963,1,XLK,XLY,SHY,XLV
2009-04-30,0.018806427714572194,1,XLY,XLK,SHY,XLP
2009-05-31,0.0468652277577537,1,XLF,XLY,XLV,SHY
2009-06-30,0.007810985922938635,1,XLK,XLY,SHY,XLV
2009-07-31,0.014409455707444785,1,XLK,XLY,XLP,XLV
2009-08-31,0.021627727907807204,1,XLF,XLY,XLV,XLP
