sample,strategy,start_date,end_date,total_excess_return,annualized_excess_return,excess_volatility,sharpe_over_shy
Full Sample,HAA Market-Cap Net,2005-01-31,2025-12-31,1.9720300462158238,0.093906192676944,0.13426430801268646,0.6994129271352661
Full Sample,Sector Top-1 Net,2005-01-31,2025-12-31,2.170288619875796,0.10334707713694265,0.18361234922962633,0.562854718490075
Full Sample,Sector Top-2 Net,2005-01-31,2025-12-31,2.2311257292353677,0.10624408234454133,0.1633649253716781,0.6503481827743695
Full Sample,Sector Top-2 SHY Net,2005-01-31,2025-12-31,2.222181758295509,0.1058181789664528,0.15231330142998897,0.6947402359018019
Full Sample,VTI Buy and Hold,2005-01-31,2025-12-31,1.959488726989528,0.09330898699950134,0.15564014284742733,0.599517484965118
Full Sample,SPY Buy and Hold,2005-01-31,2025-12-31,1.9449423054268646,0.09261630025842213,0.15044423142028648,0.615618820237021
In-Sample,HAA Market-Cap Net,2005-01-31,2015-12-31,0.8632511252191413,0.07847737501992194,0.14167317945926283,0.5539324755712678
In-Sample,Sector Top-1 Net,2005-01-31,2015-12-31,1.3373090439294344,0.1215735494481304,0.19626654308525437,0.619430838985742
In-Sample,Sector Top-2 Net,2005-01-31,2015-12-31,0.9751145404695347,0.08864677640632135,0.1699131732115517,0.5217180912509415
In-Sample,Sector Top-2 SHY Net,2005-01-31,2015-12-31,0.8360194673506438,0.07600176975914943,0.16114793920457718,0.47162731422004256
In-Sample,VTI Buy and Hold,2005-01-31,2015-12-31,0.6693156831362967,0.06084688028511789,0.15552183606294845,0.39124332521697935
In-Sample,SPY Buy and Hold,2005-01-31,2015-12-31,0.621580446761379,0.056507313341943546,0.15016044338575718,0.37631290949759744
Out-of-Sample,HAA Market-Cap Net,2016-01-31,2025-12-31,1.1087789209966823,0.11087789209966824,0.12602237785264975,0.879827011590838
Out-of-Sample,Sector Top-1 Net,2016-01-31,2025-12-31,0.8329795759463614,0.08329795759463614,0.16923506712897368,0.4922027036580719
Out-of-Sample,Sector Top-2 Net,2016-01-31,2025-12-31,1.2560111887658332,0.12560111887658332,0.1563643080030589,0.8032595192639885
Out-of-Sample,Sector Top-2 SHY Net,2016-01-31,2025-12-31,1.3861622909448654,0.13861622909448656,0.1420321963015682,0.9759493460213154
Out-of-Sample,VTI Buy and Hold,2016-01-31,2025-12-31,1.290173043853231,0.1290173043853231,0.15576707518128535,0.8282706999227517
Out-of-Sample,SPY Buy and Hold,2016-01-31,2025-12-31,1.3233618586654854,0.13233618586654855,0.15054724320561252,0.8790342689026068
