test_year,train_start_year,train_end_year,selection_metric,selected_strategy,train_cagr,train_sharpe,train_volatility,train_max_drawdown
2015,2005,2014,sharpe_ratio,Sector Top-1 Net,0.1480556613966335,0.8070861737152473,0.19582848362058347,-0.3425064637154853
2016,2006,2015,sharpe_ratio,HAA Market-Cap Net,0.09508778565520393,0.723216423712173,0.1392777615776759,-0.2582806806107907
2017,2007,2016,sharpe_ratio,HAA Market-Cap Net,0.09339465025751181,0.7045889708402376,0.14110236793512265,-0.25828068061079057
2018,2008,2017,sharpe_ratio,HAA Market-Cap Net,0.10098488116752424,0.7672650073653358,0.1381194514468716,-0.2008996933464532
2019,2009,2018,sharpe_ratio,HAA Market-Cap Net,0.1237139002294072,0.9528909232398872,0.13196279842222575,-0.2008996933464533
2020,2010,2019,sharpe_ratio,Sector Top-2 Net,0.14906966596817517,1.0536736281135244,0.14216308030459085,-0.21406697703766353
2021,2011,2020,sharpe_ratio,Sector Top-2 Net,0.16169862857968442,1.0693743811031753,0.15166030480368944,-0.21406697703766342
2022,2012,2021,sharpe_ratio,Sector Top-2 SHY Net,0.16684513644910504,1.2344431776966955,0.13278271287563376,-0.19953588698614189
2023,2013,2022,sharpe_ratio,Sector Top-2 SHY Net,0.15609058745641313,1.1766195152658798,0.1311428126455288,-0.19953588698614189
2024,2014,2023,sharpe_ratio,Sector Top-2 SHY Net,0.1427115934403944,1.09224401946513,0.13040126602857732,-0.19953588698614189
2025,2015,2024,sharpe_ratio,Sector Top-2 SHY Net,0.15775917194204658,1.1690490983158772,0.1334963189269102,-0.19953588698614189
2015,2005,2014,cagr,Sector Top-1 Net,0.1480556613966335,0.8070861737152473,0.19582848362058347,-0.3425064637154853
2016,2006,2015,cagr,Sector Top-1 Net,0.10885171124521231,0.6472161873778073,0.18771945597876522,-0.3425064637154852
2017,2007,2016,cagr,Sector Top-1 Net,0.1101903556045547,0.6736422308161146,0.18018501714561716,-0.3425064637154853
2018,2008,2017,cagr,HAA Market-Cap Net,0.10098488116752424,0.7672650073653358,0.1381194514468716,-0.2008996933464532
2019,2009,2018,cagr,Sector Top-2 Net,0.13752225504305216,0.9231153868118963,0.15286580733677976,-0.21406697703766342
2020,2010,2019,cagr,Sector Top-2 Net,0.14906966596817517,1.0536736281135244,0.14216308030459085,-0.21406697703766353
2021,2011,2020,cagr,Sector Top-2 Net,0.16169862857968442,1.0693743811031753,0.15166030480368944,-0.21406697703766342
2022,2012,2021,cagr,Sector Top-2 Net,0.18241493172938417,1.2341546684668938,0.14512057022295866,-0.19953588698614189
2023,2013,2022,cagr,Sector Top-2 Net,0.16045573670062363,1.0618289313790483,0.1517125061531218,-0.19953588698614189
2024,2014,2023,cagr,Sector Top-2 SHY Net,0.1427115934403944,1.09224401946513,0.13040126602857732,-0.19953588698614189
2025,2015,2024,cagr,Sector Top-2 SHY Net,0.15775917194204658,1.1690490983158772,0.1334963189269102,-0.19953588698614189
